Time (seconds)	Amplitude (radians)	Time uncertainty (seconds)	Amplitude uncertainty (radians)
0.133	1.5	0.008	0.02
1.367	1.48	0.008	0.02
2.667	1.46	0.008	0.02
3.933	1.45	0.008	0.02
5.233	1.42	0.008	0.02
6.467	1.4	0.008	0.02
7.667	1.39	0.008	0.02
10.2	1.37	0.008	0.02
8.967	1.36	0.008	0.02
11.433	1.33	0.008	0.02
12.667	1.33	0.008	0.02
15.133	1.31	0.008	0.02
13.9	1.3	0.008	0.02
18.8	1.28	0.008	0.02
16.367	1.27	0.008	0.02
17.567	1.27	0.008	0.02
19.967	1.26	0.008	0.02
22.4	1.25	0.008	0.02
21.233	1.25	0.008	0.02
23.6	1.22	0.008	0.02
26.033	1.22	0.008	0.02
24.867	1.21	0.008	0.02
27.267	1.19	0.008	0.02
28.467	1.16	0.008	0.02
29.667	1.15	0.008	0.02
30.867	1.15	0.008	0.02
32.067	1.15	0.008	0.02
33.267	1.14	0.008	0.02
34.467	1.12	0.008	0.02
35.633	1.11	0.008	0.02
36.833	1.1	0.008	0.02
38.0	1.09	0.008	0.02
39.2	1.09	0.008	0.02
40.367	1.07	0.008	0.02
41.567	1.06	0.008	0.02
42.733	1.05	0.008	0.02
43.933	1.04	0.008	0.02
45.1	1.04	0.008	0.02
46.3	1.03	0.008	0.02
47.467	1.01	0.008	0.02
48.633	1.01	0.008	0.02
50.933	1.0	0.008	0.02
49.8	0.99	0.008	0.02
53.267	0.98	0.008	0.02
54.5	0.98	0.008	0.02
52.133	0.98	0.008	0.02
55.667	0.97	0.008	0.02
58.0	0.97	0.008	0.02
56.8	0.97	0.008	0.02
62.633	0.94	0.008	0.02
59.167	0.94	0.008	0.02
61.467	0.93	0.008	0.02
60.3	0.93	0.008	0.02
63.8	0.93	0.008	0.02
64.967	0.91	0.008	0.02
66.133	0.91	0.008	0.02
67.233	0.9	0.008	0.02
68.433	0.9	0.008	0.02
69.6	0.89	0.008	0.02
70.767	0.88	0.008	0.02
71.9	0.88	0.008	0.02
74.167	0.87	0.008	0.02
76.5	0.87	0.008	0.02
73.0	0.87	0.008	0.02
77.667	0.87	0.008	0.02
75.367	0.86	0.008	0.02
82.267	0.85	0.008	0.02
78.767	0.84	0.008	0.02
79.967	0.84	0.008	0.02
85.7	0.83	0.008	0.02
81.067	0.83	0.008	0.02
84.567	0.82	0.008	0.02
83.367	0.81	0.008	0.02
90.3	0.81	0.008	0.02
86.867	0.8	0.008	0.02
92.567	0.8	0.008	0.02
89.1	0.8	0.008	0.02
96.0	0.79	0.008	0.02
94.867	0.79	0.008	0.02
88.0	0.78	0.008	0.02
91.433	0.78	0.008	0.02
93.733	0.77	0.008	0.02
97.1	0.77	0.008	0.02
102.867	0.77	0.008	0.02
98.3	0.77	0.008	0.02
99.433	0.76	0.008	0.02
106.267	0.76	0.008	0.02
105.133	0.76	0.008	0.02
100.567	0.76	0.008	0.02
103.933	0.74	0.008	0.02
109.667	0.74	0.008	0.02
101.7	0.73	0.008	0.02
111.933	0.73	0.008	0.02
107.4	0.73	0.008	0.02
108.533	0.73	0.008	0.02
116.5	0.72	0.008	0.02
110.8	0.72	0.008	0.02
113.1	0.71	0.008	0.02
117.633	0.7	0.008	0.02
115.367	0.7	0.008	0.02
118.733	0.7	0.008	0.02
119.867	0.69	0.008	0.02
114.2	0.69	0.008	0.02
121.033	0.68	0.008	0.02
122.133	0.68	0.008	0.02
123.267	0.67	0.008	0.02
125.533	0.67	0.008	0.02
124.433	0.67	0.008	0.02
126.667	0.67	0.008	0.02
127.8	0.66	0.008	0.02
128.933	0.66	0.008	0.02
130.067	0.66	0.008	0.02
131.2	0.65	0.008	0.02
135.7	0.65	0.008	0.02
133.467	0.64	0.008	0.02
134.6	0.64	0.008	0.02
132.3	0.64	0.008	0.02
136.833	0.64	0.008	0.02
137.967	0.63	0.008	0.02
139.1	0.63	0.008	0.02
140.2	0.63	0.008	0.02
141.367	0.62	0.008	0.02
142.5	0.62	0.008	0.02
143.6	0.61	0.008	0.02
145.867	0.61	0.008	0.02
146.967	0.61	0.008	0.02
148.1	0.6	0.008	0.02
144.733	0.6	0.008	0.02
150.367	0.6	0.008	0.02
153.733	0.6	0.008	0.02
151.5	0.59	0.008	0.02
149.233	0.59	0.008	0.02
154.867	0.59	0.008	0.02
155.967	0.59	0.008	0.02
152.6	0.59	0.008	0.02
157.133	0.59	0.008	0.02
158.233	0.59	0.008	0.02
159.367	0.58	0.008	0.02
161.6	0.58	0.008	0.02
160.467	0.58	0.008	0.02
162.733	0.57	0.008	0.02
163.867	0.57	0.008	0.02
164.967	0.57	0.008	0.02
168.367	0.56	0.008	0.02
167.2	0.56	0.008	0.02
166.1	0.56	0.008	0.02
169.467	0.56	0.008	0.02
170.567	0.55	0.008	0.02
171.7	0.55	0.008	0.02
172.833	0.55	0.008	0.02
173.967	0.54	0.008	0.02
175.067	0.54	0.008	0.02
176.167	0.54	0.008	0.02
177.3	0.53	0.008	0.02
178.433	0.53	0.008	0.02
179.533	0.53	0.008	0.02
182.9	0.53	0.008	0.02
180.667	0.53	0.008	0.02
181.8	0.53	0.008	0.02
184.033	0.52	0.008	0.02
185.167	0.52	0.008	0.02
186.267	0.52	0.008	0.02
187.4	0.51	0.008	0.02
190.767	0.51	0.008	0.02
189.633	0.51	0.008	0.02
188.5	0.51	0.008	0.02
191.867	0.5	0.008	0.02
193.0	0.5	0.008	0.02
195.2	0.47	0.008	0.02
194.1	0.46	0.008	0.02
199.7	0.46	0.008	0.02
196.333	0.46	0.008	0.02
